PointNumber          x          y
606             0.390334     -0.719945
607             0.470052     -0.707145
608             0.429443     -0.673348
609             0.420897     -0.769815
610             0.463758     -0.750416
611             0.561564     -0.781578
612             0.591169     -0.753617
613             0.530713     -0.718049
614             0.571883     -0.714670
615             0.524419     -0.761321
616             0.574189     -0.503792
617             0.609905     -0.534493
618             0.608758     -0.485841
619             0.623251     -0.510386
620             0.603065     -0.380204
621             0.619176     -0.427765
622             0.627660     -0.367475
623             0.591227     -0.405519
624             0.644997     -0.408046
625             0.453515      0.157152
626             0.443504      0.176459
627             0.423086      0.114141
628             0.409914      0.182521
629             0.396215      0.145326
630             0.444407      0.133122
631             0.701259     -0.479527
632             0.698006     -0.453503
633             0.647052     -0.465149
634             0.661544     -0.489694
635             0.672873     -0.445431
636             0.582231     -0.343344
637             0.559732     -0.301622
638             0.606826     -0.330615
639             0.554979     -0.336785
640             0.596193     -0.298583
641             0.498555      0.069807
642             0.488686      0.091189
643             0.446744      0.077784
644             0.476660      0.058013
645             0.468064      0.096765
646             0.689167     -0.379518
647             0.680943     -0.358137
648             0.650022     -0.357483
649             0.667359     -0.398054
650             0.643800     -0.385805
651             0.698600     -0.539309
652             0.692880     -0.557902
653             0.647184     -0.550558
654             0.670497     -0.563444
655             0.660530     -0.526450
656             0.562420     -0.517283
657             0.598136     -0.547985
658             0.560765     -0.565395
659             0.588834     -0.525441
660             0.705494     -0.521948
661             0.707139     -0.498921
662             0.667424     -0.509089
663             0.683069     -0.489961
664             0.682055     -0.526717
665             0.001645      0.980789
666             0.001645      0.947688
667             0.001645      0.904656
668             0.001645      0.848715
669             0.001645      0.775992
670             0.001645      0.681451
671             0.001645      0.558549
672             0.001645      0.397627
673             0.001645      0.199822
674             0.001645      0.002016
675             0.001645     -0.195789
676             0.001645     -0.393595
677             0.001645     -0.591400
678             0.001645     -0.775366
679             0.001645     -0.909595
680             0.032072     -0.988487
681             0.142878     -0.973505
682             0.216462     -0.954233
683             0.289474     -0.935033
684             0.390089     -0.906786
685             0.453161     -0.884010
686             0.510691     -0.856908
687             0.582237     -0.803454
688             0.637336     -0.744243
689             0.675987     -0.674342
690             0.699442     -0.607981
691             0.713458     -0.562428
692             0.722862     -0.523026
693             0.723702     -0.475475
694             0.717160     -0.423135
695             0.708059     -0.372533
696             0.691433     -0.330449
697             0.672983     -0.287400
698             0.650172     -0.240132
699             0.624035     -0.204770
700             0.549628     -0.021060
701             0.532108      0.029748
702             0.516447      0.071546
703             0.495888      0.118421
